threshold,precision,recall
0.010991701598673203,0.27067342505430847,1.0
0.011015506724376654,0.27071263035921206,1.0
0.011024918324918507,0.27075184702303345,1.0
0.011055126318610446,0.27079107505070993,1.0
0.011063426442199492,0.2708303144471816,1.0
0.011095757646693332,0.2708695652173913,1.0
0.011119116411396618,0.27090882736628497,1.0
0.011130888535481784,0.2709481008988113,1.0
0.011153036611342731,0.2709873858199217,1.0
0.011165397722302569,0.27102668213457076,1.0
0.011260460828267264,0.27106598984771574,1.0
0.011280324317943204,0.2711053089643168,1.0
0.011340662606102274,0.27114463948933704,1.0
0.011354984358490984,0.2711839814277423,1.0
0.011372657945846874,0.2712233347845015,1.0
0.011429867193205434,0.2712626995645864,1.0
0.011509749884257842,0.2713020757729714,1.0
0.01154523377524133,0.27134146341463417,1.0
